Kode,Nama,Nama Latin,Asal,Kategori,Tipe Bahan,Keterangan,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
GP053,Abon haruwan,,Daerah Istimewa Yogyakarta,Buah,Mentah (Raw),Abon dari ikan gabus,: 11.6 g,: 513 Kal,: 23.7 g,: 37.0 g,: 21.3 g,: 6.4 g,: 25 mg,: 25 mg,: 0.5 mg,: 61 mg,: 15.0 mg,: 0.00 mg,: 0.2 mg,,,,,,,,
GP054,Abon ikan,,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 6.4 g,: 435 Kal,: 27.2 g,: 20.2 g,: 36.1 g,: 10.1 g,,,,,,,,: 0.80 mg,: 24.3 mg,,,,,,
DR001,"Akar tonjong, segar (Lotus root, fresh)",Nelumbo nucifera,,Sayuran,Mentah (Raw),,: 86.7 g,: 45 Kal,: 1.1 g,: 0.4 g,: 10.8 g,: 1.0 g,: 72 mg,: 125 mg,: 1.3 mg,: 96 mg,": 1,147.1 mg",: 0.02 mg,: 0.2 mg,: 0.03 mg,: 1.9 mg,: 1.2 g,: 0 mcg,: 83 mcg,: 90 mcg,: 0.02 mg,: 2 mg
DR002,"Ale,toge, segar",Acacia leucophloea,,Sayuran,Mentah (Raw),,: 90.6 g,: 37 Kal,: 4.4 g,: 0.5 g,: 3.8 g,: 0.7 g,: 50 mg,: 248 mg,: 2.0 mg,: 2 mg,: 105.0 mg,: 0.16 mg,: 0.4 mg,: 0.09 mg,: 0.6 mg,: 1.7 g,: 0 mcg,: 0 mcg,: 35 mcg,: 0.02 mg,: 46 mg
ER001,"Alpukat, segar (Avocado, fresh)",Persea americana,,Buah,Mentah (Raw),,: 84.3 g,: 85 Kal,: 0.9 g,: 6.5 g,: 7.7 g,: 0.6 g,: 10 mg,: 20 mg,: 0.9 mg,: 2 mg,: 278.0 mg,: 0.20 mg,: 0.4 mg,: 0.08 mg,: 1.0 mg,,,: 189 mcg,: 180 mcg,: 0.05 mg,: 13 mg
AP026,Amparan tatak,,Kalimantan Selatan,Serealia,Olahan (Processed),"Seperti kue talam. Berbahan dasar tepung beras, santan, dan pisang",: 58.4 g,: 191 Kal,: 1.3 g,: 5.5 g,: 34.0 g,: 0.8 g,,,,,,,,,,,,,,,
CP015,Ampas kacang hijau,,,Kacang-Kacangan,Olahan (Processed),,: 70.6 g,: 96 Kal,: 3.7 g,: 0.6 g,: 19.1 g,: 0.6 g,: 133 mg,: 150 mg,: 1.3 mg,,,,,,,: 2.7 g,,,,: 0.05 mg,
CP017,Ampas tahu kukus,,,Kacang-Kacangan,Olahan (Processed),,: 82.5 g,: 75 Kal,: 4.1 g,: 2.1 g,: 10.7 g,: 0.6 g,: 203 mg,: 60 mg,: 1.3 mg,,,,,,,: 5.1 g,,: 0 mcg,,: 0.07 mg,
CP018,"Ampas tahu, kering",,,Kacang-Kacangan,Olahan (Processed),,: 9.0 g,: 414 Kal,: 26.6 g,: 18.3 g,: 41.3 g,: 5.8 g,: 19 mg,: 29 mg,: 4.0 mg,: 45 mg,": 1,055.7 mg",: 0.99 mg,: 2.8 mg,: 0.10 mg,: 0.5 mg,: 0.0 g,: 0 mcg,: 24 mcg,,: 0.20 mg,: 0 mg
CP016,"Ampas tahu, mentah",,,Kacang-Kacangan,Olahan (Processed),,: 84.1 g,: 67 Kal,: 5.0 g,: 2.1 g,: 8.1 g,: 0.6 g,: 460 mg,: 88 mg,: 1.0 mg,: 8 mg,: 184.5 mg,: 0.17 mg,: 0.5 mg,: 0.02 mg,: 0.1 mg,: 4.1 g,,: 0 mcg,,: 0.06 mg,
FR001,"Anak sapi, daging, gemuk, segar (Veal, meat, high fat, fresh)",Bos javanicus,,Daging,Mentah (Raw),,: 62.0 g,: 184 Kal,: 18.8 g,: 14.0 g,: 0.0 g,: 5.2 g,: 10 mg,: 200 mg,: 2.2 mg,: 118 mg,: 490.1 mg,: 0.17 mg,: 3.3 mg,: 0.17 mg,: 7.0 mg,: 0.0 g,: 12 mcg,: 37 mcg,,: 0.13 mg,
FR002,"Anak sapi, daging, kurus, segar (Veal, meat, high fat, fresh)",Bos javanicus,,Daging,Mentah (Raw),,: 69.0 g,: 174 Kal,: 19.6 g,: 10.0 g,: 0.0 g,: 1.4 g,: 11 mg,: 201 mg,: 2.9 mg,: 96 mg,: 399.8 mg,: 0.14 mg,: 2.7 mg,: 0.14 mg,: 5.7 mg,: 0.0 g,: 6 mcg,: 30 mcg,,: 0.08 mg,: 0 mg
FR003,"Anak sapi, daging, sedang, segar (Veal, meat, fresh)",Bos javanicus,,Daging,Mentah (Raw),,: 68.0 g,: 190 Kal,: 19.1 g,: 12.0 g,: 0.0 g,: 0.9 g,: 11 mg,: 193 mg,: 2.9 mg,: 99 mg,: 412.7 mg,: 0.14 mg,: 2.8 mg,: 0.15 mg,: 5.9 mg,: 0.0 g,: 12 mcg,: 83 mcg,,: 0.14 mg,: 0 mg
DR003,"Andaliman, segar",Zanthoxylum acanthopodium,,Sayuran,Mentah (Raw),,: 74.2 g,: 99 Kal,: 4.6 g,: 1.0 g,: 18.0 g,: 2.2 g,: 383 mg,: 107 mg,: 2.9 mg,,,,,,,: 8.5 g,: 0 mcg,,": 6,300 mcg",: 3.00 mg,: 15 mg
DR004,"Andewi, segar (Endive, fresh)",Cichorium endivia,,Sayuran,Mentah (Raw),,: 91.8 g,: 226 Kal,: 1.6 g,: 0.2 g,: 5.3 g,: 1.1 g,: 33 mg,: 66 mg,: 1.0 mg,: 29 mg,: 414.6 mg,: 0.13 mg,: 1.0 mg,: 0.09 mg,: 0.5 mg,: 4.1 g,,": 1,717 mcg",,: 0.14 mg,: 10 mg
ER002,"Anggur hutan, segar",,,Buah,Mentah (Raw),,: 92.3 g,: 30 Kal,: 0.5 g,: 0.2 g,: 6.8 g,: 0.2 g,: 39 mg,: 12 mg,: 1.1 mg,,,,,,,: 1.2 g,: 0 mcg,,: 1 mcg,: 0.01 mg,: 3 mg
FR004,"Angsa, daging, segar (Goose, meat, fresh)",Cygnus cygnus dom.,,Daging,Mentah (Raw),,: 51.1 g,: 349 Kal,: 16.4 g,: 31.5 g,: 0.0 g,: 1.0 g,: 15 mg,: 188 mg,: 1.8 mg,: 71 mg,: 299.2 mg,: 0.26 mg,: 1.7 mg,: 0.24 mg,: 7.1 mg,: 0.0 g,: 273 mcg,: 0 mcg,,: 0.10 mg,: 0 mg
DP023,"Anyang, sayur",,Medan,Sayuran,Olahan (Processed),"Seperti urap sayuran, biasanya terdiri dari daun pakis, tauge, daun pepaya, kacang panjang, kangkung dan kelapa parut",: 76.9 g,: 126 Kal,: 3.4 g,: 7.9 g,: 10.3 g,: 1.5 g,: 180 mg,: 1 mg,: 2.9 mg,: 290 mg,: 181.0 mg,: 0.30 mg,: 1.2 mg,,,: 5.4 g,,": 3,263 mcg",,: 0.20 mg,
AP027,"Apang kukus, kue",,,Serealia,Olahan (Processed),"Seperti kue mangkok. Berbahan dasar tepung beras, santan dan gula merah yang diolah dengan cara di kukus",: 49.5 g,: 202 Kal,: 3.0 g,: 0.3 g,: 46.7 g,: 0.5 g,,,,,,,,,,,,,,,
ER003,"Apel malang, segar (Apel, green, fresh)",Malus domestica,,Buah,Mentah (Raw),,: 85.9 g,: 57 Kal,: 0.5 g,: 0.4 g,: 12.8 g,: 0.3 g,: 9 mg,: 18 mg,: 0.6 mg,: 4 mg,: 175.4 mg,: 110.16 mg,: 0.0 mg,: 0.03 mg,: 0.1 mg,: 0.8 g,,: 26 mcg,": 2,240 mcg",: 0.05 mg,: 5 mg
ER004,"Apel, segar",,,Buah,Mentah (Raw),,: 84.1 g,: 58 Kal,: 0.3 g,: 0.4 g,: 14.9 g,: 0.3 g,: 6 mg,: 10 mg,: 0.3 mg,: 2 mg,: 130.0 mg,: 124.20 mg,: 0.3 mg,: 0.03 mg,: 0.1 mg,: 2.6 g,,: 30 mcg,: 90 mcg,: 0.04 mg,: 5 mg
AP028,"Apem, kue",,,Serealia,Olahan (Processed),"Seperti kue mangkok. Berbahan dasar tepung beras, santan dan gula merah yang diolah dengan cara di kukus",: 63.1 g,: 148 Kal,: 2.0 g,: 0.5 g,: 33.9 g,: 0.5 g,,,,,,,,,,,,,,,
ER005,"Arbai, segar (Arbein, fresh)",Rubus rosifolius,,Buah,Mentah (Raw),,: 89.9 g,: 37 Kal,: 0.8 g,: 0.5 g,: 8.3 g,: 0.5 g,: 28 mg,: 27 mg,: 0.8 mg,: 2 mg,: 43.0 mg,: 63.52 mg,: 18.9 mg,: 0.00 mg,: 0.1 mg,,,: 2 mcg,: 60 mcg,: 0.03 mg,: 60 mg
DP024,"Ares, sayur",,NTB,Sayuran,Olahan (Processed),Masakan dari umbut / hati batang pisang dimasak dengan santan dan bumbu (gulai),: 77.7 g,: 113 Kal,: 0.9 g,: 7.2 g,: 11.2 g,: 3.0 g,: 63 mg,: 5 mg,: 1.5 mg,": 1,413 mg",": 1,030.0 mg",: 0.70 mg,: 3.8 mg,,: 0.5 mg,: 4.7 g,,: 6 mcg,,: 0.10 mg,
BR001,"Arrowroot, segar (Arrowroot, fresh)",Maranta arundinacea,,Umbi Berpati,Mentah (Raw),,: 73.5 g,: 102 Kal,: 1.0 g,: 0.2 g,: 24.1 g,: 1.2 g,: 28 mg,: 35 mg,: 1.7 mg,: 36 mg,: 626.6 mg,: 0.20 mg,: 0.8 mg,: 0.10 mg,: 2.3 mg,: 1.7 g,: 0 mcg,: 15 mcg,: 0 mcg,: 0.06 mg,: 2 mg
DP025,Arwan sirsir,,Maluku Tenggara,Sayuran,Olahan (Processed),"Bahan dasar terdiri dari daun kasbi, daun pepaya, bunga pepaya dimasak dengan santan",: 59.0 g,: 277 Kal,: 2.4 g,: 25.0 g,: 10.7 g,: 2.9 g,: 120 mg,: 40 mg,: 2.4 mg,: 240 mg,: 320.0 mg,: 0.20 mg,: 0.9 mg,: 0.20 mg,: 0.0 mg,: 4.6 g,,": 1,578 mcg",,: 0.10 mg,: 11 mg
NR001,"Asam arang coklat, segar",,,Bumbu,Mentah (Raw),,: 66.1 g,: 130 Kal,: 0.5 g,: 1.1 g,: 30.9 g,: 1.4 g,: 79 mg,: 113 mg,: 4.3 mg,: 13 mg,,: 0.00 mg,,: 0.20 mg,: 0.0 mg,: 1.5 g,,: 745 mcg,: 0 mcg,: 0.01 mg,: 0 mg
NR002,"Asam arang merah, segar (Mysore Gamboge, fresh)",Garcinia xanthochymus,,Bumbu,Mentah (Raw),,: 75.9 g,: 99 Kal,: 0.8 g,: 1.6 g,: 20.3 g,: 1.4 g,: 69 mg,: 300 mg,: 4.6 mg,: 2 mg,: 95.7 mg,: 0.00 mg,: 0.1 mg,: 0.34 mg,: 1.6 mg,: 2.8 g,,: 529 mcg,: 0 mcg,: 0.01 mg,: 0 mg
NR004,"Asam kandis, segar (Mysore Gamboge, fresh)",Garcinia xanthochymus,,Bumbu,Mentah (Raw),,: 81.5 g,: 75 Kal,: 0.2 g,: 1.1 g,: 16.1 g,: 1.1 g,: 63 mg,: 139 mg,: 2.5 mg,: 93 mg,: 93.2 mg,: 0.10 mg,: 0.1 mg,: 0.00 mg,: 0.1 mg,: 3.4 g,,: 41 mcg,: 0 mcg,: 0.01 mg,: 0 mg
NR005,"Asam masak pohon, segar (Tamarind, fresh)",Tamarindus  indica,,Bumbu,Mentah (Raw),,: 31.4 g,: 267 Kal,: 2.8 g,: 0.6 g,: 62.5 g,: 2.7 g,: 74 mg,: 113 mg,: 0.6 mg,: 9 mg,: 139.5 mg,: 0.09 mg,: 0.1 mg,: 0.04 mg,: 0.7 mg,: 1.2 g,,: 9 mcg,: 30 mcg,: 0.34 mg,: 2 mg
NR006,"Asam payak, segar (Asam paya/ kelubi/ kuwai-kuwai)",Eleiodoxa conferta,,Bumbu,Mentah (Raw),,: 65.1 g,: 135 Kal,: 0.8 g,: 0.4 g,: 32.1 g,: 1.6 g,: 60 mg,: 39 mg,: 5.7 mg,: 0 mg,,,,,,: 10.0 g,,,: 0 mcg,: 0.00 mg,: 0 mg
NR003,"Asan kandis, kering (Mysore Gamboge, dry)",Garcinia xanthochymus,,Bumbu,Mentah (Raw),,: 32.2 g,: 261 Kal,: 0.9 g,: 1.6 g,: 63.3 g,: 2.0 g,: 192 mg,: 657 mg,: 4.4 mg,: 26 mg,: 341.4 mg,: 0.40 mg,: 0.3 mg,: 0.00 mg,: 0.4 mg,: 5.0 g,,: 0 mcg,: 0 mcg,: 0.00 mg,: 0 mg
DP022,"Asinan Bogor, sayuran",,,Sayuran,Olahan (Processed),,: 78.0 g,: 98 Kal,: 3.9 g,: 2.6 g,: 14.8 g,: 0.7 g,: 314 mg,: 17 mg,: 1.2 mg,: 483 mg,,,,,,: 0.5 g,: 10 mcg,,: 146 mcg,: 0.28 mg,: 5 mg
FP027,"Ayam  goreng Kentucky,sayap",,,Daging,Olahan (Processed),,: 44.7 g,: 297 Kal,: 35.9 g,: 15.2 g,: 1.6 g,: 2.6 g,: 103 mg,: 227 mg,: 4.4 mg,: 807 mg,: 248.4 mg,: 0.06 mg,: 1.4 mg,: 0.14 mg,: 6.5 mg,: 0.0 g,: 22 mcg,,: 70 mcg,: 0.73 mg,: 0 mg
FP021,"Ayam goreng church texas, dada",,,Daging,Olahan (Processed),,: 42.2 g,: 338 Kal,: 35.2 g,: 20.6 g,: 0.4 g,: 1.5 g,: 79 mg,: 221 mg,: 5.6 mg,: 800 mg,: 369.5 mg,: 0.16 mg,: 1.1 mg,: 0.16 mg,: 12.1 mg,: 0.0 g,: 16 mcg,,: 80 mcg,: 0.52 mg,: 0 mg
FP023,"Ayam goreng church texas, sayap",,,Daging,Olahan (Processed),,: 47.2 g,: 295 Kal,: 34.0 g,: 16.0 g,: 1.5 g,: 1.3 g,: 81 mg,: 179 mg,: 3.0 mg,: 771 mg,: 237.2 mg,: 0.16 mg,: 1.2 mg,: 0.13 mg,: 6.2 mg,: 0.0 g,: 13 mcg,,: 50 mcg,: 0.44 mg,: 0 mg
FP022,"Ayam goreng church,texas paha",,,Daging,Olahan (Processed),,: 50.3 g,: 287 Kal,: 31.0 g,: 15.7 g,: 1.7 g,: 1.3 g,: 99 mg,: 176 mg,: 4.1 mg,: 723 mg,: 257.0 mg,: 0.17 mg,: 1.5 mg,: 0.20 mg,: 5.3 mg,: 0.0 g,: 22 mcg,,: 30 mcg,: 0.66 mg,: 0 mg
FP024,"Ayam goreng kalasan, paha",,,Daging,Olahan (Processed),,: 46.2 g,: 275 Kal,: 37.4 g,: 12.2 g,: 1.3 g,: 2.9 g,: 116 mg,: 237 mg,: 5.8 mg,: 176 mg,: 321.9 mg,: 0.16 mg,: 1.5 mg,,,: 0.0 g,: 10 mcg,: 0 mcg,: 50 mcg,: 0.10 mg,: 0 mg
FP025,"Ayam goreng kentucky, dada",,,Daging,Olahan (Processed),,: 46.5 g,: 298 Kal,: 34.2 g,: 16.8 g,: 0.1 g,: 2.5 g,: 90 mg,: 284 mg,: 5.5 mg,: 741 mg,: 342.0 mg,: 0.07 mg,: 1.0 mg,: 0.00 mg,: 0.0 mg,: 0.0 g,: 36 mcg,,: 50 mcg,: 0.19 mg,: 0 mg
FP026,"Ayam goreng Kentucky, paha",,,Daging,Olahan (Processed),,: 48.7 g,: 286 Kal,: 32.1 g,: 16.1 g,: 1.1 g,: 2.0 g,: 89 mg,: 248 mg,: 6.9 mg,: 746 mg,: 265.2 mg,: 0.09 mg,: 2.3 mg,: 0.21 mg,: 5.5 mg,: 0.0 g,: 31 mcg,,: 20 mcg,: 0.50 mg,: 0 mg
FP028,Ayam goreng mbok berek dada,,,Daging,Olahan (Processed),,: 43.4 g,: 295 Kal,: 39.2 g,: 13.6 g,: 1.0 g,: 2.8 g,: 114 mg,: 278 mg,: 5.4 mg,,,,,,,: 0.0 g,: 8 mcg,,: 50 mcg,: 0.19 mg,: 0 mg
FP029,"Ayam goreng pasundan, dada",,,Daging,Olahan (Processed),,: 50.1 g,: 246 Kal,: 37.9 g,: 9.0 g,: 0.7 g,: 2.3 g,: 90 mg,: 260 mg,: 7.5 mg,,,,,,: 0.0 mg,: 0.0 g,: 6 mcg,,: 70 mcg,: 0.16 mg,
FP030,"Ayam goreng pasundan, paha",,,Daging,Olahan (Processed),,: 52.8 g,: 245 Kal,: 33.1 g,: 11.4 g,: 0.3 g,: 2.5 g,: 90 mg,: 283 mg,: 7.3 mg,,,,,,: 0.0 mg,: 0.0 g,: 8 mcg,,: 40 mcg,: 0.37 mg,
FP031,"Ayam goreng pioneer, dada",,,Daging,Olahan (Processed),,: 44.5 g,: 295 Kal,: 37.4 g,: 14.7 g,: 0.6 g,: 2.7 g,: 108 mg,: 236 mg,: 6.8 mg,,,,,,: 0.0 mg,: 0.0 g,: 16 mcg,,: 80 mcg,: 0.10 mg,
FP032,"Ayam goreng sukabumi, dada",,,Daging,Olahan (Processed),,: 49.8 g,: 244 Kal,: 36.7 g,: 9.2 g,: 1.0 g,: 3.4 g,: 81 mg,: 154 mg,: 6.1 mg,,,,,,: 0.0 mg,: 0.0 g,: 20 mcg,,: 80 mcg,: 0.66 mg,
FP033,"Ayam goreng sukabumi, paha",,,Daging,Olahan (Processed),,: 46.0 g,: 283 Kal,: 35.7 g,: 14.3 g,: 0.5 g,: 3.6 g,: 68 mg,: 106 mg,: 5.4 mg,,,,,,: 0.0 mg,: 0.0 g,: 11 mcg,,: 60 mcg,: 0.36 mg,
FP034,"Ayam taliwang, masakan",,,Daging,Olahan (Processed),,: 57.5 g,: 264 Kal,: 18.2 g,: 20.1 g,: 2.7 g,: 1.5 g,: 94 mg,: 164 mg,: 2.0 mg,: 507 mg,: 408.0 mg,: 0.40 mg,: 12.3 mg,,,,": 1,067 mcg",,,,
FP001,"Ayam, ampela, goreng",,,Daging,Olahan (Processed),,: 4.8 g,: 270 Kal,: 32.3 g,: 11.2 g,: 9.9 g,: 1.8 g,: 129 mg,: 314 mg,: 4.9 mg,: 980 mg,,: 0.12 mg,: 3.3 mg,,: 4.7 mg,: 0.0 g,: 56 mcg,,: 0 mcg,: 0.21 mg,: 0 mg
FR005,"Ayam, daging, segar (Chicken, meat, fresh)",Gallus gallus domesticus,,Daging,Mentah (Raw),,: 55.9 g,: 298 Kal,: 18.2 g,: 25.0 g,: 0.0 g,: 0.9 g,: 14 mg,: 200 mg,: 1.5 mg,: 109 mg,: 385.9 mg,: 0.11 mg,: 0.6 mg,: 0.14 mg,: 10.4 mg,: 0.0 g,: 245 mcg,: 0 mcg,,: 0.08 mg,: 0 mg
FR006,"Ayam, dideh/darah, segar (Black puding (chicken blood), fresh)",Gallus gallus domesticus,,Daging,Mentah (Raw),,: 82.0 g,: 75 Kal,: 13.8 g,: 1.9 g,: 0.7 g,: 1.6 g,: 15 mg,: 9 mg,: 1.3 mg,: 337 mg,: 234.0 mg,,,,: 0.6 mg,: 0.0 g,: 15 mcg,,,: 0.02 mg,: 0 mg
FR007,"Ayam, hati, segar (Chicken liver, raw)",Gallus domesticus,,Daging,Mentah (Raw),,: 53.4 g,: 261 Kal,: 27.4 g,: 16.1 g,: 1.6 g,: 1.5 g,: 118 mg,: 373 mg,: 15.8 mg,": 1,068 mg",: 22.9 mg,: 0.84 mg,: 0.0 mg,: 4.38 mg,: 4.1 mg,: 0.0 g,": 4,957 mcg",: 169 mcg,": 28,000 mcg",: 0.64 mg,: 0 mg
FP002,"Ayam, usus, goreng",,,Daging,Olahan (Processed),,: 4.6 g,: 473 Kal,: 45.2 g,: 26.3 g,: 13.9 g,: 10.1 g,": 1,407 mg",: 458 mg,: 8.4 mg,,,,,,: 0.0 mg,: 0.0 g,: 6 mcg,,: 224 mcg,: 0.57 mg,
FP035,"Babi hutan masak rica, masakan",,,Daging,Olahan (Processed),,: 56.2 g,: 491 Kal,: 24.6 g,: 16.3 g,: 0.2 g,: 2.7 g,: 18 mg,: 144 mg,: 1.2 mg,": 1,415 mg",: 327.0 mg,: 0.20 mg,: 2.6 mg,: 0.47 mg,,,": 2,193 mcg",,,: 0.61 mg,: 0 mg
FR008,"Babi, daging, gemuk,segar (Pork, medium fat, fresh)",Sus scrofa domesticus,,Daging,Mentah (Raw),,: 42.0 g,: 453 Kal,: 11.9 g,: 45.0 g,: 0.0 g,: 1.1 g,: 7 mg,: 117 mg,: 1.8 mg,: 112 mg,: 819.3 mg,: 0.22 mg,: 0.4 mg,: 0.59 mg,: 5.9 mg,: 0.0 g,: 0 mcg,: 0 mcg,,: 0.58 mg,: 0 mg
FR009,"Babi, daging, kurus, segar (Pork, lean, fresh)",Sus scrofa domesticus,,Daging,Mentah (Raw),,: 50.0 g,: 371 Kal,: 14.1 g,: 35.0 g,: 0.0 g,: 0.9 g,: 8 mg,: 151 mg,: 2.1 mg,: 97 mg,: 706.3 mg,: 0.19 mg,: 0.4 mg,: 0.33 mg,: 5.4 mg,: 0.0 g,: 0 mcg,: 0 mcg,,: 0.67 mg,: 0 mg
FR010,"Babi, ginjal, segar (Kidney, pork, fresh)",Sus scrofa domesticus,,Daging,Mentah (Raw),,: 77.1 g,: 110 Kal,: 16.3 g,: 4.6 g,: 0.8 g,: 1.2 g,: 11 mg,: 246 mg,: 8.0 mg,: 139 mg,: 390.0 mg,: 0.71 mg,: 3.2 mg,: 1.59 mg,: 9.1 mg,: 0.0 g,: 39 mcg,: 10 mcg,,: 0.58 mg,: 13 mg
FR011,"Babi, hati, segar (Liver, pork, fresh)",Sus scrofa domesticus,,Daging,Mentah (Raw),,: 72.3 g,: 129 Kal,: 19.7 g,: 4.8 g,: 1.7 g,: 1.5 g,: 10 mg,: 362 mg,: 18.0 mg,: 110 mg,: 447.0 mg,: 0.58 mg,: 0.1 mg,: 1.16 mg,: 5.7 mg,: 0.0 g,": 4,303 mcg",: 6 mcg,,: 0.40 mg,: 23 mg
BP013,Bagea kelapa asin,,Ambon,Umbi Berpati,Olahan (Processed),"Kue berbahan dasar sagu, kelapa, dan garam.",: 3.5 g,: 450 Kal,: 3.2 g,: 13.9 g,: 78.1 g,: 1.3 g,: 38 mg,: 38 mg,: 0.3 mg,: 74 mg,: 0.0 mg,: 0.20 mg,: 0.2 mg,: 0.00 mg,: 0.0 mg,,: 0 mcg,: 0 mcg,: 0 mcg,: 0.30 mg,: 0 mg
BP014,Bagea kelapa manis,,Ambon,Umbi Berpati,Olahan (Processed),"Kue berbahan dasar sagu, kelapa, dan gula",: 3.0 g,: 452 Kal,: 1.3 g,: 13.8 g,: 80.6 g,: 1.3 g,: 38 mg,: 39 mg,: 0.3 mg,: 75 mg,: 0.0 mg,: 0.20 mg,: 0.2 mg,: 0.00 mg,: 0.0 mg,,: 0 mcg,: 0 mcg,: 0 mcg,: 0.00 mg,: 0 mg
BP015,Bagea kenari asin,,Sulawesi dan Ambon,Umbi Berpati,Olahan (Processed),"Kue berbahan dasar sagu, kelapa, garam,  dan kenari",: 2.8 g,: 529 Kal,: 3.2 g,: 29.1 g,: 63.6 g,: 1.3 g,: 38 mg,: 40 mg,: 0.4 mg,: 74 mg,: 0.0 mg,: 0.20 mg,: 0.2 mg,: 0.00 mg,: 0.0 mg,,: 0 mcg,: 0 mcg,: 0 mcg,: 0.30 mg,: 0 mg
BP016,Bagea kenari manis,,Sulawesi dan Ambon,Umbi Berpati,Olahan (Processed),"Kue berbahan dasar sagu, kelapa, gula, dan  kenari",: 3.1 g,: 523 Kal,: 3.2 g,: 28.2 g,: 64.2 g,: 1.3 g,: 38 mg,: 39 mg,: 0.3 mg,: 74 mg,: 0.0 mg,: 0.20 mg,: 0.2 mg,: 0.00 mg,: 0.0 mg,,: 0 mcg,: 0 mcg,: 0 mcg,: 0.30 mg,: 0 mg
BP017,Bagea kw 1,,,Umbi Berpati,Olahan (Processed),,: 7.2 g,: 416 Kal,: 6.5 g,: 9.4 g,: 76.3 g,: 0.6 g,: 49 mg,: 77 mg,: 4.9 mg,,,,,,: 2.6 mg,: 0.4 g,: 13 mcg,,: 312 mcg,: 0.08 mg,: 0 mg
BP018,Bagea kw 2,,,Umbi Berpati,Olahan (Processed),,: 7.9 g,: 382 Kal,: 0.3 g,: 3.5 g,: 87.2 g,: 1.1 g,: 172 mg,: 120 mg,: 7.6 mg,,,,,,,: 0.9 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.02 mg,: 0 mg
AP030,"Bakpia, kue",,,Serealia,Olahan (Processed),,: 38.9 g,: 272 Kal,: 8.7 g,: 6.7 g,: 44.1 g,: 1.6 g,: 194 mg,: 117 mg,: 4.5 mg,,,,,: 1.00 mg,: 2.9 mg,: 0.9 g,,,": 1,392 mcg",: 0.31 mg,: 0 mg
DR005,"Bakung, segar (Welsh onion, fresh)",Allium fistulosum,,Sayuran,Mentah (Raw),,: 92.5 g,: 27 Kal,: 2.0 g,: 0.2 g,: 4.2 g,: 1.1 g,: 19 mg,: 20 mg,: 0.5 mg,: 37 mg,: 340.0 mg,: 0.20 mg,: 0.3 mg,: 0.10 mg,: 0.3 mg,: 3.8 g,,": 1,080 mcg",,: 0.20 mg,: 42 mg
AP031,Bakwan,,,Serealia,Olahan (Processed),Di Jawa Barat disebut bala-bala; di Jawa Timur disebut ote-ote. Berbahan dasar campuran tepung terigu dan sayuran yang diolah dengan cara di goreng,: 40.5 g,: 280 Kal,: 8.2 g,: 10.2 g,: 39.0 g,: 2.1 g,: 204 mg,: 79 mg,: 7.0 mg,,,,,,,: 3.4 g,: 0 mcg,,: 0 mcg,: 0.08 mg,: 0 mg
NP001,Balichong (Tiny shrimp fermented),,,Bumbu,Olahan (Processed),Udang kecil yang difermentasi,: 59.9 g,: 152 Kal,: 13.2 g,: 0.8 g,: 22.9 g,: 3.6 g,: 380 mg,: 210 mg,: 2.9 mg,: 120 mg,: 310.0 mg,: 0.80 mg,: 1.1 mg,: 0.08 mg,: 0.2 mg,: 1.5 g,: 34 mcg,: 0 mcg,,: 0.01 mg,
DR006,"Baligo, segar (Wax gourd)",Benincasa pruriens  forma  hispida,,Sayuran,Mentah (Raw),,: 96.1 g,: 15 Kal,: 0.4 g,: 0.2 g,: 3.0 g,: 0.3 g,: 19 mg,: 19 mg,: 0.4 mg,: 2 mg,: 131.1 mg,: 0.02 mg,: 0.6 mg,: 0.02 mg,: 0.3 mg,: 0.4 g,,: 0 mcg,,: 0.04 mg,: 13 mg
AP032,Bantal,,NTB,Serealia,Olahan (Processed),Jajanan dari ketan dan kacang tolo dibungkus daun kelapa diolah dengan cara dikukus. (Lontong ketan dan kacang),: 52.3 g,: 190 Kal,: 3.3 g,: 0.3 g,: 43.5 g,: 0.6 g,: 9 mg,: 0 mg,: 0.4 mg,: 164 mg,: 84.0 mg,: 0.20 mg,: 0.9 mg,: 0.02 mg,: 3.6 mg,: 3.4 g,,,,: 0.27 mg,
EP001,Barongko,,Bugis,Buah,Olahan (Processed),Bahan dasar terdiri dari pisang dihaluskan ditambah santan dan gula pasir kemudian dibungkus daun pisang dan dikukus,: 66.7 g,: 159 Kal,: 3.1 g,: 5.8 g,: 23.5 g,: 0.7 g,: 35 mg,: 65 mg,: 1.2 mg,: 46 mg,: 78.0 mg,: 0.30 mg,: 0.6 mg,,,,,,,,
AP033,Baruasa,,Makassar,Serealia,Olahan (Processed),"Kue kering berbahan dasar tepung beras, gula pasir, telur, kelapa parut diolah dengan cara dipanggang",: 5.3 g,: 417 Kal,: 6.5 g,: 8.2 g,: 79.3 g,: 0.7 g,,,,,,,,,,,,,,,
