Kode,Nama,Nama Latin,Asal,Kategori,Tipe Bahan,Keterangan,Air (Water),Energi (Energy),Protein (Protein),Lemak (Fat),Karbohidrat (CHO),Abu (ASH),Kalsium (Ca),Fosfor (P),Besi (Fe),Natrium (Na),Kalium (K),Tembaga (Cu),Seng (Zn),Riboflavin (Vit. B2),Niasin (Niacin),Serat (Fibre),Retinol (Vit. A),Beta-Karoten (Carotenes),Karoten Total (Re),Thiamin (Vit. B1),Vitamin C (Vit. C)
FP061,"Rawon, masakan",,Jawa Timur,Daging,Olahan (Processed),Masakan daging sapi berkuah hitam yang berasal dari kluwek,: 86.0 g,: 60 Kal,: 5.4 g,: 2.5 g,: 4.0 g,: 2.1 g,: 272 mg,: 153 mg,: 3.3 mg,,,,,,,,: 10 mcg,,": 1,235 mcg",: 0.09 mg,: 0 mg
GP047,"Rebon, kering, mentah",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 21.6 g,: 299 Kal,: 59.4 g,: 3.6 g,: 3.2 g,: 12.2 g,": 2,306 mg",: 625 mg,: 21.4 mg,,,,,,,: 0.0 g,: 0 mcg,: 0 mcg,,: 0.06 mg,: 0 mg
GR080,"Rebon, udang kecil, segar",,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 79.0 g,: 81 Kal,: 16.2 g,: 1.2 g,: 0.7 g,: 2.9 g,: 757 mg,: 292 mg,: 2.2 mg,: 169 mg,: 202.9 mg,: 0.70 mg,: 1.2 mg,: 0.10 mg,: 2.4 mg,: 0.0 g,: 18 mcg,: 0 mcg,,: 0.04 mg,: 0 mg
GP048,"Rebung laut, mentah",,,Ikan/Kerang/Udang dll,Olahan (Processed),,: 18.2 g,: 320 Kal,: 7.2 g,: 4.2 g,: 63.3 g,: 7.1 g,: 240 mg,: 570 mg,: 6.6 mg,: 20 mg,": 1,040.0 mg",: 1.50 mg,: 6.2 mg,: 0.00 mg,: 4.9 mg,,: 917 mcg,,,: 0.00 mg,
DR138,"Rebung, segar (Bamboo shoot, fresh)",Dendrocalamus asper,,Sayuran,Mentah (Raw),,: 93.3 g,: 25 Kal,: 0.8 g,: 0.1 g,: 5.3 g,: 0.5 g,: 3 mg,: 5 mg,: 0.5 mg,: 3 mg,: 206.0 mg,: 0.10 mg,: 0.4 mg,: 0.07 mg,: 0.5 mg,: 9.7 g,,: 10 mcg,,: 0.20 mg,: 0 mg
CP055,Rempeyek kacang tanah,,,Kacang-Kacangan,Olahan (Processed),Nama lainnya adalah peyek. Gorengan tipis renyah yang terdiri dari campuran  tepung beras dan kacang tanah,: 3.9 g,: 513 Kal,: 17.5 g,: 32.5 g,: 44.3 g,: 1.8 g,: 65 mg,: 202 mg,: 2.6 mg,,,,,,,: 1.7 g,,,: 0 mcg,: 0.10 mg,: 0 mg
CP056,Rempeyek kacang tolo,,,Kacang-Kacangan,Olahan (Processed),Nama lainnya adalah peyek. Gorengan tipis renyah yang terdiri dari campuran  tepung beras dan kacang tolo,: 6.1 g,: 451 Kal,: 11.2 g,: 20.2 g,: 59.7 g,: 2.8 g,: 156 mg,: 221 mg,: 4.6 mg,,,,,,,: 1.8 g,,,: 0 mcg,: 0.02 mg,: 0 mg
CP057,Rempeyek kacang uci,,,Kacang-Kacangan,Olahan (Processed),Nama lainnya adalah peyek. Gorengan tipis renyah  yang terdiri dari campuran  tepung beras dan kacang uci,: 4.0 g,: 497 Kal,: 17.0 g,: 27.6 g,: 50.8 g,: 3.4 g,: 166 mg,: 89 mg,: 6.7 mg,,,,,,,: 2.4 g,,,: 0 mcg,: 0.05 mg,: 0 mg
FP062,"Rendang sapi, masakan",,,Daging,Olahan (Processed),,: 57.9 g,: 193 Kal,: 22.6 g,: 7.9 g,: 7.8 g,: 3.8 g,: 474 mg,: 211 mg,: 14.9 mg,,,,,,: 0.0 mg,: 0.0 g,: 21 mcg,,: 534 mcg,: 0.12 mg,
AP102,Renggi goreng,,Jawa,Serealia,Olahan (Processed),"Kerupuk ketan. Nama lain rengginang. Bahan dasar terdiri dari nasi ketan dibentuk bulat tipis yang dikukus, lalu dijemur, dan setelah itu digoreng",: 8.8 g,: 471 Kal,: 4.7 g,: 21.8 g,: 64.1 g,: 0.6 g,: 4 mg,: 80 mg,: 1.1 mg,: 126 mg,: 29.0 mg,: 0.90 mg,: 1.3 mg,: 0.05 mg,: 8.2 mg,: 6.4 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.53 mg,: 0 mg
EP008,Rica-rica taipa,,,Buah,Olahan (Processed),"Mangga muda diiris dicampur dengan cabai, udang kering dan terasi (Acar mangga muda)",: 86.7 g,: 49 Kal,: 1.6 g,: 0.3 g,: 10.0 g,: 1.4 g,: 11 mg,: 48 mg,: 3.0 mg,: 426 mg,: 42.0 mg,: 0.50 mg,: 0.5 mg,,,,,: 13 mcg,,: 0.18 mg,: 15 mg
DR139,"Rimbang, segar (Devil�ss fig, plate brush)",Solanum torvum Swartz,,Sayuran,Mentah (Raw),,: 80.8 g,: 75 Kal,: 1.6 g,: 0.6 g,: 15.8 g,: 1.2 g,: 55 mg,: 97 mg,: 0.6 mg,: 20 mg,: 234.0 mg,: 0.40 mg,: 0.4 mg,: 0.10 mg,: 1.3 mg,: 10.0 g,,: 51 mcg,,: 0.40 mg,: 38 mg
AP103,Roti boong,,Medan,Serealia,Olahan (Processed),"Kue seperti donat berbetuk bulat lonjong dengan proses digoreng berbahan dasar tepung terigu, gula pasir, telur ayam, mentega ,air soda dan ragi",: 34.0 g,: 341 Kal,: 5.5 g,: 16.2 g,: 43.3 g,: 1.0 g,: 15 mg,: 65 mg,: 1.1 mg,: 161 mg,: 41.0 mg,,: 0.9 mg,: 0.30 mg,: 2.4 mg,,,,,: 0.40 mg,: 0 mg
AP024,Roti putih,,,Serealia,Olahan (Processed),,: 40.0 g,: 248 Kal,: 8.0 g,: 1.2 g,: 50.0 g,: 0.8 g,: 10 mg,: 95 mg,: 1.5 mg,: 530 mg,: 91.0 mg,: 0.15 mg,: 0.9 mg,: 0.29 mg,: 2.4 mg,: 9.1 g,: 0 mcg,: 0 mcg,: 0 mcg,: 0.10 mg,: 0 mg
AP104,Roti warna sawo matang,,,Serealia,Olahan (Processed),,: 40.0 g,: 249 Kal,: 7.9 g,: 1.5 g,: 49.7 g,: 0.9 g,: 20 mg,: 140 mg,: 2.5 mg,: 500 mg,: 91.0 mg,,,,,,: 0 mcg,: 0 mcg,: 0 mcg,: 0.15 mg,: 0 mg
EP009,Rujak aceh,,Aceh,Buah,Olahan (Processed),"Seperti Asinan. Bahan dasar terdiri dari buah batok, mangga, ketimun dan bengkuang.",: 78.7 g,: 82 Kal,: 0.4 g,: 0.3 g,: 19.7 g,: 0.9 g,,,,,,,,: 0.03 mg,,: 2.4 g,,: 10 mcg,,: 0.22 mg,: 42 mg
DP046,Rujak cingur,,Jawa Timur,Sayuran,Olahan (Processed),"Seperti gado-gado, ditambah cingur sapi.",: 70.1 g,: 153 Kal,: 11.3 g,: 8.4 g,: 8.0 g,: 1.4 g,: 256 mg,: 143 mg,: 4.4 mg,,,,,,,: 1.4 g,: 18 mcg,,": 2,880 mcg",: 0.16 mg,: 2 mg
DR140,Rumput laut (Seaweed),"""Euchema sp. (merah), Sargassum sp. (coklat), Caulerpa sp. (hijau)""",,Sayuran,Mentah (Raw),,: 87.0 g,: 41 Kal,: 1.4 g,: 0.3 g,: 8.1 g,: 3.2 g,: 80 mg,: 20 mg,: 1.6 mg,: 250 mg,: 380.0 mg,: 0.20 mg,: 0.4 mg,: 0.00 mg,: 0.1 mg,: 2.2 g,,": 1,958 mcg",,: 0.20 mg,: 7 mg
FP010,"Rusa, daging, dendeng, mentah",,,Daging,Olahan (Processed),,: 18.3 g,: 536 Kal,: 40.5 g,: 41.5 g,: 0.0 g,: 2.5 g,: 90 mg,: 420 mg,: 13.4 mg,: 130 mg,: 690.0 mg,: 0.30 mg,: 10.7 mg,,: 0.2 mg,,: 285 mcg,,,,
GR081,Rusip,,,Ikan/Kerang/Udang dll,Mentah (Raw),,: 58.5 g,: 110 Kal,: 11.5 g,: 2.0 g,: 11.7 g,: 16.3 g,: 479 mg,: 348 mg,: 7.1 mg,,,,,,,: 0.0 g,: 0 mcg,,: 0 mcg,: 0.04 mg,: 0 mg
FP063,"RW, anjing, masakan",,,Daging,Olahan (Processed),Masakan daging anjing,: 60.8 g,: 198 Kal,: 24.6 g,: 10.7 g,: 0.9 g,: 3.0 g,": 1,071 mg",: 876 mg,: 4.0 mg,": 1,604 mg",: 226.0 mg,: 0.10 mg,: 2.8 mg,: 0.20 mg,,,: 256 mcg,,,: 0.35 mg,
GP087,"Saboko gurita, masakan",,Timor Leste,Ikan/Kerang/Udang dll,Olahan (Processed),"Gurita dibumbui dengan cabe, bawang, daun asam muda yang kemudian dibungkus dengan daun lontar dan dibakar",: 76.2 g,: 87 Kal,: 15.7 g,: 1.5 g,: 2.6 g,: 4.1 g,: 60 mg,: 14 mg,: 2.1 mg,: 200 mg,: 180.0 mg,: 0.90 mg,: 4.0 mg,,,,: 38 mcg,,,,
